threshold,cost,precision,recall,f1,fp,fn
0.3899999999999999,1823,0.7891061452513967,0.8608430675469781,0.8234151080884139,453,274
0.3999999999999998,1849,0.7899906454630495,0.8577958354494667,0.8224981738495251,449,280
0.4099999999999998,1851,0.7945334590009425,0.856272219400711,0.8242483500366659,436,283
0.4199999999999998,1871,0.7941454202077431,0.8542407313357034,0.8230976266209934,436,287
0.4299999999999998,1884,0.7946048272598202,0.8527171152869477,0.8226359627633512,434,290
0.43999999999999984,1894,0.7961995249406176,0.851193499238192,0.8227785959744723,429,293
0.44999999999999984,1915,0.7972328244274809,0.8486541391569324,0.8221402214022141,425,298
0.45999999999999985,1934,0.7990407673860911,0.8461147790756729,0.8219042920572275,419,303
0.46999999999999986,1953,0.7990384615384616,0.8440832910106653,0.820943442825389,418,307
0.47999999999999976,1973,0.8004830917874396,0.8415439309294058,0.8205001237930181,413,312
0.48999999999999977,1977,0.8026188166828322,0.840528186896902,0.8211361944926817,407,314
0.4999999999999998,1991,0.8045808966861598,0.8384966988318944,0.8211887590151703,401,318
0.5099999999999998,1999,0.8070519098922625,0.8369730827831386,0.8217402144103714,394,321
0.5199999999999998,2016,0.8078624078624078,0.834941594718131,0.8211788211788211,391,325
0.5299999999999998,2052,0.8086999505684627,0.8308786185881158,0.8196392785571142,387,333
0.5399999999999998,2069,0.8095238095238095,0.8288471305231082,0.8190715181932247,384,337
0.5499999999999998,2090,0.8106626806178375,0.8263077704418487,0.8184104627766599,380,342
0.5599999999999997,2108,0.8130325814536341,0.8237684103605891,0.8183652875882946,373,347
0.5699999999999997,2128,0.8146095717884131,0.8212290502793296,0.8179059180576631,368,352
0.5799999999999997,2131,0.8173076923076923,0.8202133062468258,0.8187579214195184,361,354
0.5899999999999997,2132,0.8188736681887366,0.8197054342305738,0.8192893401015229,357,355
0.5999999999999998,2164,0.8194798572157063,0.8161503301168106,0.8178117048346056,354,362
0.6099999999999998,2178,0.8216299333675039,0.814118842051803,0.8178571428571428,348,366
0.6199999999999998,2204,0.8227717671303452,0.8110716099542915,0.8168797953964195,344,372
0.6299999999999997,2229,0.8243523316062176,0.80802437785678,0.8161066940241087,339,378
0.6399999999999997,2240,0.8257930317212688,0.8065007618080243,0.816032887975334,335,381
0.6499999999999997,2246,0.8273343766301513,0.8054850177755206,0.8162635100360268,331,383
0.6599999999999997,2287,0.8282563025210085,0.8009141696292534,0.8143557965401499,327,392
0.6699999999999997,2310,0.8307773664727657,0.797866937531742,0.8139896373056994,320,398
0.6799999999999997,2332,0.831651619755709,0.7953275774504824,0.8130841121495328,317,403
0.6899999999999997,2370,0.8339582217461168,0.7907567293042154,0.8117831074035454,310,412
0.6999999999999996,2400,0.8355795148247979,0.787201625190452,0.8106694560669456,305,419
0.7099999999999996,2414,0.8379403794037941,0.7851701371254444,0.8106974305191399,299,423
0.7199999999999996,2435,0.8393246187363834,0.7826307770441848,0.8099868593955323,295,428
0.7299999999999996,2458,0.839803171131766,0.7800914169629254,0.8088467614533965,293,433
0.7399999999999997,2471,0.8426842684268426,0.7780599288979178,0.8090837074201215,286,437
0.7499999999999997,2481,0.8447513812154697,0.776536312849162,0.809208785392961,281,440
0.7599999999999997,2497,0.8462819089900111,0.7745048247841544,0.8088040307610714,277,444
0.7699999999999997,2507,0.8506711409395973,0.7724733367191468,0.8096885813148789,267,448
0.7799999999999997,2509,0.8543307086614174,0.7714575926866429,0.8107819589004537,259,450
0.7899999999999996,2538,0.856657223796034,0.7679024885728797,0.8098553829673273,253,457
0.7999999999999996,2598,0.8580423583285632,0.7613001523616049,0.8067814854682455,248,470
0.8099999999999996,2609,0.8597701149425288,0.7597765363128491,0.806686438393098,244,473
0.8199999999999996,2652,0.8624492164828786,0.7546978161503302,0.8049837486457205,237,483
0.8299999999999996,2706,0.864516129032258,0.7486033519553073,0.8023952095808383,231,495
0.8399999999999996,2742,0.8659184878913172,0.744540375825292,0.8006553795740032,227,503
